WD21CD,WD22CD,distance
E05000186,E05013533,0.00321038938448284
E05000187,E05013534,1.0000000000010001e-05
E05000188,E05013536,0.0032872176684852674
E05000189,E05013537,0.0018264993840658684
E05000190,E05013538,2.8284271246940655e-05
E05000191,E05013540,0.0026027677575996997
E05000192,E05013541,0.00045122056691167966
E05000193,E05013673,0.005290151226571875
E05000194,E05013676,0.0002601922366250129
E05000195,E05013695,0.018810321634677052
E05000196,E05013678,1.0000000003174137e-05
E05000197,E05013679,2.8284271246925937e-05
E05000198,E05013674,0.001167261752992797
E05000199,E05013680,0.0
E05000200,E05013681,0.003870917203970892
E05000201,E05013682,4.123105625522155e-05
E05000202,E05013687,0.01835792199569427
E05000203,E05013684,0.0014590750494742606
E05000204,E05013685,0.001973955419962821
E05000205,E05013683,0.006614809143129225
E05000206,E05013689,0.0006016643582597601
E05000207,E05013691,0.004592276124100973
E05000208,E05013692,0.002005617112013002
E05000209,E05013672,0.002226791413670224
E05000210,E05013693,0.0033947753975759267
E05000211,E05013675,0.002837199323276804
E05000212,E05013694,0.0031607752213658126
E05000213,E05013696,0.0026363800939952294
E05000214,E05014072,0.00024484484883319164
E05000215,E05014076,0.011021266896323104
E05000216,E05014074,0.0034183067445700257
E05000217,E05014086,0.0006514207549658976
E05000218,E05014078,0.0038173133222199895
E05000219,E05014079,0.0014175316574961945
E05000220,E05014077,0.005911492535731042
E05000221,E05014087,0.008110799035853978
E05000222,E05014081,9.999999999999593e-06
E05000223,E05014083,0.0021400934559075192
E05000224,E05014085,0.005173090855571956
E05000225,E05014082,0.004791043727623907
E05000226,E05014088,0.009318782109268094
E05000227,E05014089,0.006128403136218219
E05000228,E05014090,0.00522196667932541
E05000229,E05014093,0.0035639569301541907
E05000230,E05014094,0.005615265265327884
E05000250,E05013733,0.0013398880550258164
E05000251,E05013750,0.004234347647512558
E05000252,E05013735,0.0030218537357007283
E05000253,E05013736,2.2360679773232837e-05
E05000254,E05013742,0.0016925720073299605
E05000255,E05013738,0.003167964646267159
E05000256,E05013741,0.0037202150475477347
E05000257,E05013743,0.0006519202405209526
E05000258,E05013751,0.0003667424164184138
E05000259,E05013744,8.944271910364348e-05
E05000260,E05013745,0.005002819205207919
E05000261,E05013746,0.002261526033458124
E05000262,E05013747,0.0045055188380475125
E05000263,E05013748,0.0027406021236217443
E05000264,E05013739,0.0025084058682756376
E05000265,E05013753,0.0033348613164568184
E05000266,E05013585,0.001489328707841533
E05000267,E05013586,0.0024101867147588636
E05000268,E05013601,0.004627450702063531
E05000269,E05013588,0.0024020407989874364
